pub_date	title	venue	excerpt	citation	url_slug	paper_url
2018/04	Concepts, approaches, and avenues for modelling crop health and crop losses	European Journal of Agronomy	This article addresses the modelling of crop health and its impact on crop losses, with a special emphasis on plant diseases. 	Savary, S., Nelson, A.D., Djurle, A., Esker, P.D., Sparks, A., Amorim, L., Bergamin Filho, A., Caffi, T., Castilla, N., Garrett, K. and McRoberts, N., 2018. Concepts, approaches, and avenues for modelling crop health and crop losses. European Journal of Agronomy.	S_Savary_2018	https://www.sciencedirect.com/science/article/pii/S1161030118300832
2017/06/23	Spatial and Temporal Patterns of Rice Production	The Future Rice Strategy for India	This chapter analyzes the spatial and temporal patterns of rice production and productivity in India. Of the 20 agroecological zones, five account for more than 60% of the total rice area and these zones unfortunately house a large number of low-productivity districts. Most of these low-productivity districts fall under the rainfed rice ecosystem that seems to lack appropriate production technologies. Average total factor productivity (TFP) growth for rice was estimated at 3.28% from 1991–92 to 2012–13, and much of this growth was contributed by technical change with little improvement in technical efficiency change. Among the states, Punjab registered the highest TFP growth of 5.71%, whereas Assam showed a negative growth rate. With the exception of Andhra Pradesh, all states failed to show technical efficiency gains, meaning higher quantities of rice are produced using a higher quantity of input per hectare. Overall, analysis revealed that technical change was the main driver of TFP growth in rice.	Chap. Spatial and Temporal Patterns of Rice Production, E. Kannan, A. Paliwal, A. Sparks. Edited by Mohanty, S., P. G. Chengappa, M. Hedge, J.K. Ladha, S. Baruah, E. Kannan, and A. V. Manjunatha, Elsevier, “The Future Rice Strategy for India”, 2017	E_Kannan_2017	http://www.sciencedirect.com/science/article/pii/B9780128053744000038
2017/09	bomrang: Fetch Australian Government Bureau of Meteorology Data in R	The Journal of Open Source Software	The Australian Bureau of Meteorology (BoM) publicly provides data via an anonymous FTP server, in XML and json files (Australian Bureau of Meteorology 2017). The files are well structured but knowledge of how to use R and parse them is required to extract the data into a data frame for use in R (R Core Team 2017) or requires external programs and scripting to import the data for use. bomrang provides functionality for automated retrieval and parsing of selected weather data files from BoM.	Sparks AH, Padgham M, Parsonage H and Pembleton K (2017). bomrang: Fetch Australian Government Bureau of Meteorology Weather Data. The Journal of Open Source Software, 2(17). doi: 10.21105/joss.00411.	sparks_et_al_2017a	http://joss.theoj.org/papers/350bf005bded599e4b0f3ac2acf138e8
2017/07/19	Mungbean and sorghum disease update	GRDC Updates		Mungbean and Sorghum Disease Update, L Kelly, J White, M Sharman, H Brier, L Williams, R Grams, D Weir, A Mckay, AH Sparks, GRDC Updates (Jondaryan) (July 19, 2017). Jondaryan, Queensland, Australia	kelly_et_al_2017	https://grdc.com.au/resources-and-publications/grdc-update-papers/tab-content/grdc-update-papers/2017/07/mungbean-and-sorghum-disease-update
2015/12/19	Spatial modelling of rice yield losses in Tanzania due to bacterial leaf blight and leaf blast in a changing climate	Climatic Change	Rice is the most rapidly growing staple food in Africa and although rice production is steadily increasing, the consumption is still out-pacing the production. In Tanzania, two important diseases in rice production are leaf blast caused by Magnaporthe oryzae and bacterial leaf blight caused by Xanthomonas oryzae pv. oryzae. The objective of this study was to quantify rice yield losses due to these two important diseases under a changing climate. We found that bacterial leaf blight is predicted to increase causing greater losses than leaf blast in the future, with losses due to leaf blast declining. The results of this study indicate that the effects of climate change on plant disease can not only be expected to be uneven across diseases but also across geographies, as in some geographic areas losses increase but decrease in others for the same disease.	Spatial modelling of rice yield losses in Tanzania due to bacterial leaf blight and leaf blast in a changing climate. C Duku, A H Sparks, S J Zwart. <i>Climatic Change</i> 135.3 (Jan. 2016) pp. 569–583. DOI: 10.1007/s10584-015-1580-2	duku_et_al_2016	http://dx.doi.org/10.1007/s10584-015-1580-2
2011/08/18	A metamodeling framework for extending the application domain of process-based ecological models	Ecosphere	Process-based ecological models used to assess organisms' responses to environmental conditions often need input data at a high temporal resolution, e.g., hourly or daily weather data. Such input data may not be available at a high spatial resolution for large areas, limiting opportunities to use such models. Here we present a metamodeling framework to develop reduced form ecological models that use lower resolution input data than the original process models. We used generalized additive models to create metamodels for an existing model that uses hourly data to predict risk of potato late blight, caused by the plant pathogen Phytophthora infestans. The metamodels used daily or monthly weather data, and their predictions maintained the key features of the original model. This approach can be applied to other complex models, allowing them to be used more widely.	A metamodeling framework for extending the application domain of process-based eco- logical models. A H Sparks, G A Forbes, R J Hijmans, K A Garrett. <i>Ecosphere</i> 2.8 (2011) art90. DOI: 10.1890/ES11-00128.1	sparks_et_al_2011	Sparks_et_al-2011-Ecosphere.pdf
2013/03/10	A review on crop losses, epidemiology and disease management of rice brown spot to identify research priorities and knowledge gaps	European Journal of Plant Pathology	Rice brown spot (BS) is a chronic disease that affects millions of hectares of rice every growing season, grown by some of the most resource-poor farmers. Despite its widespread occurrence and impact, much still needs to be understood about BS. Reported yield losses in relative terms vary widely from 4 to 52 %. However, accurate, systematic estimates are lacking. BS is conventionally perceived as a secondary problem that reflects rice crops that experience physiological stresses, e.g. drought and poor soil fertility, rather than a true infectious disease. Much remains to be understood about the mechanisms leading to epidemics and crop losses. Quantitative and qualitative knowledge gaps exist in our understanding of the epidemiological processes, sources of resistance and biocontrol methods. In this review we identify several of these gaps, which if filled, could lead to a strong impact on the management of brown spot. We also use the architecture of a simulation model to position and prioritize these knowledge gaps, assess the epidemiological consequences of disease management options on BS monocyclic processes and explore the impact changing production situations on this important disease.	A review on crop losses, epidemiology and disease management of rice brown spot to identify research priorities and knowledge gaps. M K Barnwal, A Kotasthane, N Magculia, P K Mukherjee, S Savary, A K Sharma, H B Singh, U S Singh, A H Sparks, M Variar, N Zaidi. <i>European Journal of Plant Pathology</i> 136.3 (2013) pp. 443–457. DOI: 10.1007/s10658-013-0195-6	barnwal_et_al_2013	art%3A10.1007%2Fs10658-013-0195-6.pdf
2017/03/17	Crop health and its global impacts on the components of food security	Food Security	The literature on the importance of plant pathogens sometimes emphasizes their possible role in historical food shortages and even in famines. Aside from such major crises, plant pathogens should also be seen as important reducers of crop performances, with impacts on system sustainability, from the ecological, agronomical, social, and economic standpoints – all contributing ultimately to affecting food security. These views need reconciliation in order to produce a clearer picture of the multidimensional effects of plant disease epidemics. Such a picture is needed for disease management today, but would also be useful for future policies. This article attempts to develop a framework that would enable assessment of the impacts of plant diseases, referred collectively to as crop health, on food security via its components. We have combined three different existing definitions of food security in order to develop a framework consisting of the following six components: (1) Availability. Primary production; (2) Availability. Import - Stockpiles; (3) Access. Physical and supply chain; (4) Access. Economic; (5) Stability of food availability; (6) Utility-Safety-Quality-Nutritive value. In this framework, components of food security are combined with three attributes of production situations: the nature of the considered crop (i.e. food- or non-food), the structure of farms (i.e. subsistence or commercial), and the structure of markets (i.e. weakly organized and local, to strongly organized and globalized). The resulting matrix: [Food security components] × [Attributes of production situations] provides a framework where the impacts of chronic, acute, and emerging plant disease epidemics on food security can be examined. We propose that, given the number of components and interactions at play, a systems modelling approach is required to address the functioning of food systems exposed to plant disease risks. This approach would have application in both the management of the current attrition of crop performances by plant diseases, and also of possible disease-induced shocks. Such an approach would also enable quantifying shifts in disease vulnerability of production situations, and therefore, of food systems, as a result of climate change, globalization, and evolving crop health.	Crop health and its global impacts on the components of food security. S Savary, S Bregaglio, L Willocquet, D Gustafson, D Mason D’Croz, A Sparks, N Castilla, A Djurle, C Allinne, Mamta Sharma, V Rossi, L Amorim, A Bergamin, J Yuen, P Esker, Neil McRoberts, J Avelino, E Duveiller, J Koo, K Garrett. <i>Food Security</i> (Mar. 2017) pp. 1–17. DOI: 10.1007/s12571-017-0659-1	savary_et_al_2017	http://dx.doi.org/10.1007/s12571-017-0659-1
2015/05/05	Decision tools for bacterial blight resistance gene deployment in rice-based agricultural ecosystems	Frontiers in Plant Science	Attempting to achieve long-lasting and stable resistance using uniformly deployed rice varieties is not a sustainable approach. The real situation appears to be much more complex and dynamic, one in which pathogens quickly adapt to resistant varieties. To prevent disease epidemics, deployment should be customized and this decision will require interdisciplinary actions. This perspective article aims to highlight the current progress on disease resistance deployment to control bacterial blight in rice. Although the model system rice \textit{Xanthomonas oryzae} pv. \textit{oryzae} has distinctive features that underpin the need for a case-by-case analysis, strategies to integrate those elements into a unique decision tool could be easily extended to other crops.	Decision tools for bacterial blight resistance gene deployment in rice-based agricultural ecosystems. S G Dossa, A H Sparks, C M Vera Cruz, R Oliva. <i>Frontiers in Plant Science</i> 6.305 (May 2015). DOI: 10.3389/ fpls.2015.00305	dosa_et_al_2015	fpls-06-00305.pdf
2014/05/30	Climate change may have limited effect on global risk of potato late blight	Global Change Biology	Weather affects the severity of many plant diseases, and climate change is likely to alter the patterns of crop disease severity. Evaluating possible future patterns can help focus crop breeding and disease management research. We examined the global effect of climate change on potato late blight, the disease that caused the Irish potato famine and still is a common potato disease around the world. We used a metamodel and considered three global climate models for the A2 greenhouse gas emission scenario for three 20-year time-slices: 2000–2019, 2040–2059 and 2080–2099. In addition to global analyses, five regions were evaluated where potato is an important crop: the Andean Highlands, Indo-Gangetic Plain and Himalayan Highlands, Southeast Asian Highlands, Ethiopian Highlands, and Lake Kivu Highlands in Sub-Saharan Africa. We found that the average global risk of potato late blight increases initially, when compared with historic climate data, and then declines as planting dates shift to cooler seasons. Risk in the agro-ecosystems analyzed, varied from a large increase in risk in the Lake Kivu Highlands in Rwanda to decreases in the Southeast Asian Highlands of Indonesia.	Climate change may have limited effect on global risk of potato late blight. A H Sparks, G A Forbes, R J Hijmans, K A Garrett. <i>Global Change Biology</i> 20 (Dec. 2014) pp. 3621–3631. DOI: 10.1111/gcb.12587	sparks_et_al_2014	10.1111/gcb.12587
